<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
SBER D 230619 000000 244.46 244.69 241.32 242.28 29777860
SBER D 230620 000000 241.95 242.22 238.82 241.74 36578050
SBER D 230621 000000 241.9 243.92 240.6 242.2 26644780
SBER D 230622 000000 242.1 242.8 240.13 240.66 23093570
SBER D 230623 000000 239.96 240.99 234.34 235.67 61661860
SBER D 230626 000000 239.6 240.5 233.4 238.4 81032100
SBER D 230627 000000 239.02 242.34 236.8 241.21 51321260
SBER D 230628 000000 241.8 241.8 238.6 239.67 28217550
SBER D 230629 000000 239.75 241.26 239.02 239.99 28077670
SBER D 230630 000000 240 240.68 238.36 239.61 24011230
SBER D 230703 000000 240 244.56 239.15 243.33 47207170
SBER D 230704 000000 243.45 243.78 240.61 240.7 41487820
SBER D 230705 000000 241.48 241.9 240.24 240.95 19841190
SBER D 230706 000000 241.45 242.47 240.71 240.96 23175870
SBER D 230707 000000 241.2 243.75 240.7 243.67 30201090
SBER D 230710 000000 244.22 249.45 244.2 249.4 64946220
SBER D 230711 000000 250.02 250.2 246.51 247.99 49073930
SBER D 230712 000000 248.39 249.2 246.1 247.52 39166310
SBER D 230713 000000 247.96 248.15 245.34 246.19 29474970
SBER D 230714 000000 246.3 247.05 244.51 246.45 25576610
SBER D 230717 000000 244.76 246.2 243.6 245.39 35730950
SBER D 230718 000000 245.6 247.5 245.26 246.77 35911790
SBER D 230719 000000 247.21 248.1 245 245.85 31394740
SBER D 230720 000000 246.25 246.25 242.15 242.7 35960520
SBER D 230721 000000 243.17 244.53 241.7 244.13 32120690
SBER D 230724 000000 243.99 245.85 243.52 244.87 19681330
SBER D 230725 000000 245.37 247.77 244.81 247.2 39683790
SBER D 230726 000000 247.22 248.33 245.9 247.05 26031980
SBER D 230727 000000 247.51 249.3 247.24 247.95 39756100
SBER D 230728 000000 247.99 249.45 246.67 249.25 35742280
SBER D 230731 000000 251.35 267.77 251.35 267.4 167081570
SBER D 230801 000000 268.98 273.35 264.1 268.5 162474350
SBER D 230802 000000 268.53 269.97 266.52 268.57 48208590
SBER D 230803 000000 269.01 271.35 266.8 269.11 75376240
SBER D 230804 000000 269.48 272.96 261.21 264.12 132164900
SBER D 230807 000000 266.5 268.09 260.5 261.92 61223950
SBER D 230808 000000 261.91 265.44 258.8 264.62 65005790
SBER D 230809 000000 265.46 265.8 263.05 263.91 34850720
SBER D 230810 000000 264.72 267.5 263.96 266.91 37190100
SBER D 230811 000000 267.2 267.4 264.8 266.23 24716230
SBER D 230814 000000 267.37 268.77 259.15 260.45 86583040
SBER D 230815 000000 259.1 264.17 256.63 260.42 58967150
SBER D 230816 000000 261.29 261.68 254.33 256.02 71737910
SBER D 230817 000000 257.19 258.8 255.5 258.5 35682720
SBER D 230818 000000 258.39 261.37 257.35 261.14 30973320
SBER D 230821 000000 262.33 263.06 259.51 261.15 35622200
SBER D 230822 000000 261.9 262.11 259.81 261.45 25893210
SBER D 230823 000000 261.55 261.83 256 256.4 53079140
SBER D 230824 000000 257.62 259.94 256.4 259.63 26823420
SBER D 230825 000000 258.8 261.6 257.61 260.5 28518670
SBER D 230828 000000 261.25 267.83 260.81 266.93 57849930
SBER D 230829 000000 266.62 267.56 265.14 265.68 35291820
SBER D 230830 000000 265.73 267.36 263.1 264.7 38578950
SBER D 230831 000000 265.05 266.25 264.3 264.85 22557030
SBER D 230901 000000 265.4 265.62 264.06 265 19248500
SBER D 230904 000000 266.5 269.11 266 267.39 47933710
SBER D 230905 000000 266.97 267.98 261.09 264.75 39642920
SBER D 230906 000000 264.33 264.68 262.31 263.5 28244090
SBER D 230907 000000 263.52 264.97 256.1 258.79 67608570
SBER D 230908 000000 258.45 259.33 253.1 255.68 49455340
SBER D 230911 000000 257 258.37 255.16 256.25 43042300
SBER D 230912 000000 257.69 262.4 257.09 262.4 45008650
SBER D 230913 000000 262.38 262.77 257.59 258.18 29971320
SBER D 230914 000000 258.85 261.38 255.02 260 46153720
SBER D 230915 000000 259.8 262.74 258.56 260.83 35455920
SBER D 230918 000000 262.06 263 258.76 259.07 28891500
SBER D 230919 000000 258.93 259.32 251.5 252.72 89480280
SBER D 230920 000000 252.81 255.47 249.82 253.77 66610520
SBER D 230921 000000 252.94 254.2 249.81 250.16 58854870
SBER D 230922 000000 249.85 253.1 248.62 251.99 40406630
SBER D 230925 000000 252.11 253.49 249.83 252.65 31834270
SBER D 230926 000000 252.2 257.17 250.9 255.87 42923170
SBER D 230927 000000 256.26 257.85 254.63 256.1 27795730
SBER D 230928 000000 256.22 258.25 255.5 257.67 26289900
SBER D 230929 000000 257.99 262.59 256.71 260.72 68503050
SBER D 231002 000000 261.38 261.92 257.03 258.98 35447350
SBER D 231003 000000 258.99 260.5 257.23 259.65 23815150
SBER D 231004 000000 259 260.39 258.24 259.53 18510890
SBER D 231005 000000 260.71 261.39 258.26 259.38 23254560
SBER D 231006 000000 259.77 263.4 257.86 262.93 31980230
SBER D 231009 000000 263.02 265.97 263 265.25 45189600
SBER D 231010 000000 264.9 265.18 257 263 33744090
SBER D 231011 000000 263.18 263.99 259.5 260.21 29440350
SBER D 231012 000000 260.03 264.5 259.66 264.5 27421510
SBER D 231013 000000 264.75 265.04 262.7 263.51 18351530
SBER D 231016 000000 263.99 269.2 263.51 268.15 53677710
SBER D 231017 000000 268.25 271.97 266.91 270 51107660
SBER D 231018 000000 270 271.19 266.11 267.9 40249640
SBER D 231019 000000 267.14 271 266.28 268.65 33466930
SBER D 231020 000000 268.5 270.3 266.5 269.8 32851790
SBER D 231023 000000 270.47 274.1 269.65 270.1 62301840
SBER D 231024 000000 270.03 272.06 268.62 271.27 27975250
SBER D 231025 000000 271.5 274.96 270.53 273.73 41764060
SBER D 231026 000000 274.1 276 269.12 269.9 59466100
SBER D 231027 000000 270 271.98 266.8 269.7 49735190
SBER D 231030 000000 269.9 271.55 268.6 269.89 33261680
SBER D 231031 000000 269.91 270.5 266.87 268.35 26117980
SBER D 231101 000000 268.29 270.3 267.6 269.68 20587810
SBER D 231102 000000 270.01 270.98 268.5 269.06 25499750
SBER D 231103 000000 269.07 269.78 267.2 268.54 20968810
SBER D 231106 000000 269 273.87 268.62 273.42 29231770
SBER D 231107 000000 273.08 274.78 272.2 273.31 32183320
SBER D 231108 000000 273.53 278.35 273.28 278.15 58000060
SBER D 231109 000000 278.6 278.85 276.02 276.65 28258660
SBER D 231110 000000 276.99 281.3 276.6 280.19 44600220
SBER D 231113 000000 280.4 284.8 280.32 283.97 45780320
SBER D 231114 000000 283.66 283.88 280.54 280.87 40350240
SBER D 231115 000000 280.87 283.93 278.51 282.89 41784490
SBER D 231116 000000 282.4 283.69 279.56 279.7 24654700
