<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;210414;000000;556.05;556.1;546.25;552.1;5658280
ROSN;D;210415;000000;548.6;562.6;545.4;556.5;6284300
ROSN;D;210416;000000;560.05;561.4;549.2;555.05;4001960
ROSN;D;210419;000000;552.05;554.7;546.05;548.05;3363600
ROSN;D;210420;000000;549.9;553.9;537.5;541.05;5466560
ROSN;D;210421;000000;540.8;547.35;538.65;545.7;2814680
ROSN;D;210422;000000;546.25;546.9;536.6;541.6;5871040
ROSN;D;210423;000000;543;544.8;533.95;538.5;5056970
ROSN;D;210426;000000;537.85;537.85;527.5;530.6;5746610
ROSN;D;210427;000000;531.05;533.7;524.5;528;4247670
ROSN;D;210428;000000;529;529.75;522.1;527.95;4575220
ROSN;D;210429;000000;530;536.1;526.05;528.75;6331160
ROSN;D;210430;000000;527.65;529.7;521.55;525.2;5133150
ROSN;D;210504;000000;526.7;538.15;526.3;537.15;5102830
ROSN;D;210505;000000;540;546.8;537.05;538.65;6084410
ROSN;D;210506;000000;540.6;542.8;534.2;538.55;4533640
ROSN;D;210507;000000;540;541.65;533.25;536.2;3166660
ROSN;D;210510;000000;537.2;547.5;533.55;541.95;5096230
ROSN;D;210511;000000;539.9;541.6;528.6;532;5230870
ROSN;D;210512;000000;532.8;551.3;529.85;542.2;8515340
ROSN;D;210513;000000;541;552;539.5;550;6446300
ROSN;D;210514;000000;552;553.7;541.2;545.65;4089830
ROSN;D;210517;000000;545.85;546.1;535.9;545.55;3852360
ROSN;D;210518;000000;546.35;551;538.35;540.45;5971840
ROSN;D;210519;000000;539.6;539.6;526.35;529.5;4943050
ROSN;D;210520;000000;529.55;529.85;514.3;517.35;6585010
ROSN;D;210521;000000;516.8;528.55;515.3;525.55;5372140
ROSN;D;210524;000000;526.85;531.4;519.3;523.95;3162900
ROSN;D;210525;000000;525.15;530.45;523.2;524.35;3535020
ROSN;D;210526;000000;526.3;532.2;522.2;525.85;3743550
ROSN;D;210527;000000;523;525.2;519.8;525.2;4313580
ROSN;D;210528;000000;523.15;525.6;521;523.35;2860970
ROSN;D;210531;000000;525.9;531.65;524;531.4;2560760
ROSN;D;210601;000000;535.25;547.65;533.85;544;9934530
ROSN;D;210602;000000;545;552.45;541.6;552;8902240
